CODIGO ALUMNO,LENGUAJE DE PROGRAMACION III,MATEMATICA IV,DISEÑO DE SISTEMAS,ESTADISTICA,GEOMETRIA DESCRIPTIVA Y DIBUJO,SISTEMAS DIGITALES,INGENIERIA DE SISTEMAS,PROYECTOS DE SISTEMAS,ECONOMIA GENERAL,ANALISIS DE SISTEMAS,ANALISIS ECONOMICO,ESTADISTICA APLICADA,TALLER DE BASE DE DATOS,ADMINISTRACION Y GESTION EMPRESARIAL,MATEMATICA II,MATEMATICA III,COSTOS Y PRESUPUESTOS,INTRODUCCION A LA INGENIERIA DE SISTEMAS,MATEMATICA BASICA,TEORIA DE DECISIONES,LENGUAJE DE PROGRAMACION II,BASE DE DATOS,SISTEMAS DE COMUNICACION,QUIMICA GENERAL,SISTEMAS DE INFORMACION GERENCIAL,INVESTIGACION OPERATIVA II,ANALISIS NUMERICO,SEMINARIO DE TESIS,METODICA DE LA COMUNICACION,GESTION TECNOLOGICA,FISICA II,LOGISTICA,COMPORTAMIENTO Y DESARROLLO ORGANIZACIONAL,CONSTITUCION DESARROLLO Y DEFENSA NACIONAL,METODOLOGIA DE LA INVESTIGACION CIENTIFICA,ARQUITECTURA Y ORGANIZACION DEL COMPUTADOR,SIMULACION DE SISTEMAS,AUDITORIA DE SISTEMAS,CONTABILIDAD GENERAL,INGENIERIA ECONOMICA Y FINANCIERA,MATEMATICA DISCRETA,FISICA III,ADMINISTRACION DE CENTROS DE INFORMACION,SISTEMAS OPERATIVOS,FISICA I,ESTRATEGIAS EMPRESARIALES Y POLITICAS CORPORATIVAS,MERCADOTECNIA,ORGANIZACION Y METODOS,MATEMATICA I,ALGORITMOS Y ESTRUCTURA DE DATOS,LENGUAJE DE PROGRAMACION I,CIRCUITOS ELECTRONICOS,INVESTIGACION OPERATIVA I,FORMULACION Y EVALUACION DE PROYECTOS DE SISTEMAS,TEORIA GENERAL DE SISTEMAS,PROMEDIO,RENDIMIENTO
1125220168,15,12,12,13,14,13,14,11,13,12,16,11,14,14,12,11,14,14,11,13,12,16,16,13,11,16,19,14,13,12,11,12,13,12,16,13,11,5,14,18,14,11,18,13,13,17,12,19,14,19,17,13,13,12,11,13.4909090909,A
1115220142,12,11,12,10,15,13,15,11,11,11,13,12,17,12,6,11,13,14,13,11,13,12,13,11,11,10,12,11,15,18,11,11,12,15,12,10,3,18,13,13,12,11,13,12,11,18,18,15,9,9,14,11,11,11,13,12.2727272727,B
1125220141,12,8,11,14,11,12,14,10,11,11,15,11,13,13,11,11,16,14,11,15,15,13,16,14,11,11,11,11,13,11,13,12,13,12,11,12,11,14,13,13,12,11,12,18,14,12,12,17,9,12,13,12,12,13,15,12.5090909091,B
042090I,17,0,11,11,12,12,0,0,8,12,16,12,0,12,11,9,11,14,11,14,13,11,0,8,13,12,12,0,12,0,12,13,13,12,0,5,0,0,13,13,11,14,11,0,12,9,16,16,8,9,14,11,12,11,12,9.4727272727,C
1125210054,14,11,13,12,12,12,14,12,11,11,15,12,16,16,11,7,12,14,5,11,11,15,16,14,7,9,14,13,12,12,11,11,13,13,11,11,11,6,14,16,12,11,18,12,12,16,11,16,5,20,14,11,11,12,14,12.2909090909,B
1125210125,13,12,13,11,12,11,0,11,14,11,17,11,14,13,12,13,11,13,5,14,11,16,13,11,11,11,12,11,14,0,13,8,15,17,11,10,11,15,16,14,14,13,12,14,12,18,14,15,9,19,16,11,13,11,15,12.3090909091,B
029336H,15,1,11,10,7,11,11,6,3,11,14,11,15,11,9,3,11,10,5,15,0,15,12,12,11,11,15,0,11,12,11,16,11,11,7,1,11,11,11,6,8,11,11,12,6,16,17,18,11,11,6,11,11,8,12,10.0727272727,C
1115220231,15,12,12,11,12,15,11,16,15,13,19,13,14,15,12,13,13,16,11,12,15,11,15,12,11,11,16,11,13,17,11,15,11,15,14,12,12,17,15,12,11,13,13,12,12,17,15,17,12,13,12,11,11,12,15,13.3090909091,A
100946D,13,14,13,15,14,15,11,11,17,14,16,14,19,13,12,13,13,14,13,11,16,19,13,15,14,15,16,12,16,14,13,14,12,11,13,16,12,12,16,15,14,14,17,17,13,15,16,18,13,18,18,13,12,12,13,14.2181818182,A
1115220196,12,6,15,12,15,13,13,16,11,11,15,11,15,12,12,9,12,16,13,12,12,14,18,12,13,13,13,11,14,10,12,9,13,13,11,7,0,7,13,16,11,14,10,10,14,14,15,13,11,14,10,11,16,6,15,12.1090909091,B
100959I,10,11,11,12,14,17,11,11,12,12,18,12,13,13,12,7,13,11,15,11,8,14,13,10,10,12,13,9,14,16,12,13,11,13,12,12,12,14,14,14,15,14,14,13,10,15,15,16,11,14,16,14,12,15,13,12.7090909091,B
072766K,8,0,13,0,12,11,0,12,12,4,16,11,0,12,6,13,11,13,11,14,13,11,12,7,15,12,15,15,14,13,11,14,11,13,11,0,0,11,13,1,11,11,0,11,10,11,13,16,11,16,13,11,7,13,12,10.1272727273,C
100945H,14,9,11,11,11,14,11,0,11,12,18,9,13,11,11,7,12,14,11,12,13,13,11,11,16,11,3,11,16,16,11,13,12,13,12,11,12,11,13,12,12,12,14,16,11,15,17,17,8,12,13,11,6,10,12,11.8,B
092828A,17,11,16,11,12,14,11,3,14,12,16,13,15,14,10,14,13,12,11,13,11,10,11,9,6,16,13,11,15,0,11,13,11,10,12,12,10,14,13,16,14,11,11,13,9,14,14,16,11,18,11,12,12,12,16,12.1818181818,B
1025220036,17,13,14,13,15,14,11,12,13,13,17,13,16,13,17,17,13,15,12,16,15,12,14,15,11,14,14,14,16,12,17,12,12,17,12,13,14,11,16,15,14,16,15,13,16,17,15,17,15,15,14,13,13,12,18,14.2363636364,A
1115210073,15,8,17,11,14,12,0,0,16,12,15,11,12,13,7,11,13,15,11,11,14,12,15,12,11,16,12,0,14,0,13,13,12,15,16,11,10,18,14,13,7,13,13,15,8,12,11,18,7,13,13,11,11,15,11,11.6909090909,B
1215210035,13,11,12,11,14,13,11,11,13,11,18,11,16,14,8,11,11,16,8,13,13,13,13,11,15,11,14,14,14,9,11,11,9,13,11,11,12,11,18,10,13,12,15,9,13,12,16,14,7,16,13,13,14,15,16,12.5090909091,B
1215220167,16,11,15,11,16,15,14,17,12,12,18,11,14,15,11,11,12,14,9,11,14,18,13,9,15,11,13,12,13,11,11,11,10,12,12,11,11,11,18,12,13,12,17,9,12,15,16,11,8,15,11,15,11,13,16,12.8545454545,B
1115210153,14,12,13,14,14,15,12,11,12,13,18,12,16,13,11,13,13,16,12,12,12,16,12,10,14,16,12,14,13,14,15,17,14,13,12,13,11,13,15,17,15,17,11,15,12,19,19,17,8,8,13,11,7,13,16,13.4545454545,A
040699F,0,11,13,12,13,11,0,0,9,11,17,11,0,13,11,7,11,5,8,14,11,0,4,9,14,11,16,0,12,0,13,13,13,11,12,9,11,0,11,11,11,13,9,0,11,9,17,16,8,12,12,11,11,2,13,9.3272727273,C
1025220188,12,11,12,15,15,15,12,16,14,12,17,14,11,14,13,13,14,14,11,16,17,15,13,13,9,16,12,0,16,12,14,18,15,17,14,10,0,11,14,17,12,16,13,13,12,14,13,19,14,15,17,14,11,6,18,13.2909090909,A
1025220357,12,12,12,11,14,12,12,11,11,13,18,11,16,13,14,15,12,12,11,11,17,12,12,13,11,11,15,11,14,13,14,11,11,15,13,12,0,11,13,14,12,13,15,14,13,15,17,15,13,14,13,12,12,3,17,12.6181818182,B
1025210083,19,12,12,12,13,16,13,11,15,15,15,12,15,15,12,14,13,13,13,12,19,19,14,13,11,13,16,20,16,15,12,18,13,15,14,14,15,11,14,16,12,14,11,17,12,19,16,19,15,12,16,14,11,17,19,14.4363636364,A
1115210082,12,11,17,11,12,11,11,6,12,11,16,11,13,12,7,11,12,11,11,11,16,11,13,8,11,12,13,12,15,15,11,15,13,14,14,11,11,6,15,11,12,11,7,11,11,15,14,16,3,12,13,11,11,7,9,11.6181818182,B
1115210019,15,13,17,16,14,14,12,11,16,12,13,12,15,14,11,15,14,16,16,12,15,16,13,15,8,17,14,12,16,17,15,15,13,15,15,14,14,15,15,15,14,13,11,11,15,17,15,18,16,16,16,11,13,17,13,14.2363636364,A
100963F,12,13,10,13,12,14,11,11,13,12,18,12,12,14,12,11,12,13,0,12,13,12,11,0,13,11,13,11,14,16,12,12,11,0,12,11,11,11,12,14,14,13,11,12,11,13,16,13,11,12,13,13,12,11,16,11.7818181818,B
1115220276,11,13,15,11,15,13,11,15,11,14,18,11,11,15,8,11,12,16,12,11,11,12,12,11,15,11,14,12,15,18,11,15,13,13,14,12,11,11,14,13,13,12,16,13,11,18,18,18,11,19,13,12,15,12,11,13.1636363636,A
092083F,16,12,11,11,13,13,0,7,14,7,15,11,11,13,9,11,11,10,11,11,5,18,11,13,11,11,12,0,15,11,12,11,12,11,11,10,11,12,13,13,11,11,16,11,11,11,14,16,11,16,14,12,12,5,6,11.2181818182,B
090814C,10,11,13,11,13,12,11,13,18,11,19,12,15,15,14,16,17,11,10,10,6,0,12,15,17,12,14,0,14,13,11,13,14,13,15,10,13,14,11,17,15,15,11,0,15,0,19,14,12,18,15,11,12,12,12,12.3090909091,B
1125210063,16,11,11,11,13,13,15,12,16,16,15,13,15,16,13,16,13,19,7,13,14,16,14,11,13,12,17,14,15,11,12,16,17,13,14,12,12,11,16,16,12,14,16,18,12,12,13,18,11,20,18,13,14,16,18,14.0909090909,A
100154K,12,11,13,10,12,12,11,11,11,13,12,12,15,10,11,8,14,11,9,11,6,11,12,8,11,8,12,12,16,10,11,14,11,11,9,12,10,13,14,12,9,12,5,12,11,15,17,16,7,15,12,0,8,11,11,11.1454545455,B
1125210027,15,7,12,11,16,13,11,15,11,17,14,11,16,13,11,11,12,12,11,11,11,16,16,12,11,11,18,12,14,11,11,11,12,17,11,10,12,16,14,18,13,15,15,11,11,15,12,13,11,14,15,11,11,14,16,12.9272727273,B
104036B,12,11,12,13,14,16,11,11,0,14,18,12,15,14,15,15,12,14,0,12,17,18,14,0,11,14,13,14,0,14,13,14,16,0,12,15,13,11,16,14,13,12,11,15,13,16,17,17,0,16,13,12,12,16,15,12.3272727273,B
070090J,15,12,11,0,12,12,8,11,11,0,11,11,11,11,1,11,11,11,10,15,13,10,0,11,8,8,0,11,15,0,2,13,9,11,10,0,9,11,13,11,4,0,8,0,12,13,15,14,4,11,7,11,9,11,11,8.9090909091,C
090835K,2,13,12,13,14,15,14,15,14,11,15,11,15,13,10,8,6,11,12,11,1,14,16,11,13,11,17,11,14,16,10,11,13,11,11,11,0,16,13,14,14,11,16,17,11,17,20,18,8,7,14,13,11,15,16,12.3090909091,B
100954G,12,13,12,13,14,18,11,11,16,11,15,11,17,14,14,11,13,14,16,12,13,14,15,13,14,16,13,13,16,13,11,14,11,11,12,11,12,11,16,17,13,13,17,16,19,16,13,18,13,18,17,16,12,15,12,13.8545454545,A
1115220133,12,12,12,11,14,17,14,11,11,14,18,11,11,13,8,11,12,15,16,11,15,15,17,12,15,16,12,0,15,15,11,12,13,15,14,8,0,18,14,18,11,11,12,9,11,13,13,18,12,12,14,15,13,11,11,12.6363636364,B
1115220204,13,9,9,12,14,12,5,0,11,11,16,11,13,13,6,11,12,15,13,11,14,15,15,12,7,11,8,0,14,0,11,14,13,13,11,9,12,15,13,15,9,11,13,14,11,9,16,18,8,13,15,12,13,1,13,11.1818181818,B
1115220151,4,11,13,16,14,15,12,10,18,11,17,14,18,15,11,5,12,17,17,12,17,13,17,16,11,14,13,12,16,14,15,14,15,12,14,12,11,12,16,14,13,15,11,15,15,18,18,20,13,14,15,13,14,11,18,13.8727272727,A
1115220089,11,11,7,11,11,13,0,0,14,11,12,11,17,13,11,13,13,11,15,11,14,15,11,10,5,14,14,0,13,0,13,11,12,14,11,3,11,17,13,14,12,12,9,15,12,12,11,16,11,13,14,11,11,7,13,11.0909090909,B
1115220347,11,11,9,11,12,14,9,7,11,11,15,10,15,11,7,11,12,12,11,11,11,15,12,14,9,12,12,5,15,14,11,11,12,11,11,9,0,15,12,11,12,14,13,12,11,14,11,17,8,8,12,11,3,11,11,11.1090909091,B
1115220294,11,13,11,9,11,13,11,7,16,11,17,11,11,13,11,13,13,11,14,11,12,15,11,9,11,15,13,13,14,10,12,14,12,15,12,7,13,13,15,13,9,15,11,11,13,14,11,18,11,15,13,11,9,9,14,12.2,B
1115220053,17,11,14,17,13,15,11,9,17,13,13,11,17,14,11,13,14,15,13,11,15,17,16,16,14,12,15,13,15,17,11,11,14,13,14,13,14,7,13,16,13,16,13,18,15,16,14,18,11,19,17,16,15,12,12,14,A
1115210046,13,11,10,11,15,12,14,15,11,16,16,11,12,13,4,11,12,13,11,11,11,11,12,15,7,11,11,11,15,15,6,15,14,15,12,11,8,3,15,16,12,11,13,13,4,16,16,16,5,14,13,12,16,13,8,11.9636363636,B
100962J,11,12,15,11,15,15,11,6,13,15,16,11,8,13,12,11,12,15,12,11,16,11,14,11,16,14,15,3,16,11,12,15,11,14,15,12,0,11,13,16,14,18,17,14,12,13,13,18,11,16,14,13,11,11,15,12.7454545455,B
1115220329,13,12,12,15,14,15,11,16,11,12,17,11,16,13,11,11,14,13,15,13,16,14,14,15,11,15,15,13,14,18,13,11,13,12,15,11,11,18,14,12,15,14,14,11,11,17,14,18,11,14,15,12,14,11,12,13.5090909091,A
1125220186,16,11,16,16,14,14,13,14,11,12,14,14,14,13,12,13,15,14,11,12,11,18,15,14,11,13,19,13,14,12,14,11,13,13,15,12,11,16,13,16,17,11,17,17,12,17,14,17,17,16,18,13,12,12,11,13.8909090909,A
1115220258,15,11,17,11,15,14,15,11,11,12,14,11,17,13,5,11,13,13,12,14,14,14,14,12,13,13,14,11,13,18,11,14,12,10,16,11,0,16,13,11,12,11,11,12,11,18,18,17,7,12,16,11,13,7,13,12.6181818182,B
1115220392,11,11,11,12,11,13,12,8,13,12,11,9,17,11,8,11,13,14,11,11,12,15,16,11,9,11,16,11,13,14,12,12,11,12,11,9,12,6,12,14,12,9,15,13,9,16,14,14,9,9,15,12,11,15,16,11.9636363636,B
010664J,10,12,13,9,4,11,0,11,9,7,14,4,11,12,11,11,0,12,11,11,14,15,11,8,5,9,7,11,14,7,0,12,11,14,13,0,0,11,12,11,13,14,0,12,4,16,15,17,12,7,13,11,11,11,14,9.7818181818,C
1115220409,14,13,14,13,13,14,11,17,11,13,12,11,16,14,11,12,13,14,11,12,14,15,14,13,12,11,15,9,13,18,12,13,13,15,17,14,12,15,15,13,13,15,12,15,11,16,14,17,11,15,14,12,14,14,13,13.4181818182,A
100150E,13,11,13,12,12,16,11,11,9,14,11,9,15,12,11,6,12,12,9,11,18,14,13,8,13,12,15,13,12,15,11,17,12,14,12,13,11,12,15,14,12,13,13,15,11,13,14,17,8,18,17,12,8,13,13,12.5636363636,B
1225250017,0,12,14,12,11,13,16,15,11,11,13,12,19,14,11,11,12,13,13,16,15,11,17,11,11,15,12,14,12,12,11,15,12,11,13,0,0,7,14,11,12,11,13,17,11,18,12,11,11,16,7,11,12,15,15,12.0909090909,B
1115210055,15,11,14,11,13,13,12,10,13,13,16,11,12,13,11,13,13,14,13,13,14,15,15,14,13,11,14,8,14,17,11,14,13,14,17,2,0,11,17,13,13,18,13,15,12,14,13,17,12,18,17,13,14,7,13,12.9090909091,B
1125220293,15,6,11,11,11,11,16,8,11,11,16,11,13,13,13,11,12,13,7,11,11,11,12,11,9,11,13,12,12,11,11,13,14,12,11,11,11,15,13,12,11,12,13,17,14,12,14,13,9,15,13,7,12,12,17,11.9636363636,B
022667I,11,11,11,8,8,11,13,0,15,13,7,11,11,0,5,12,0,16,11,12,10,15,14,13,0,3,12,12,14,12,11,3,10,10,8,5,9,15,14,13,7,7,5,0,7,16,8,0,8,10,14,11,9,5,3,9.0727272727,C
1115210117,15,12,12,11,11,11,12,12,11,18,15,11,17,13,11,11,12,16,8,11,15,13,11,7,12,12,14,11,14,15,13,12,12,11,15,11,13,17,13,18,9,13,14,18,12,15,11,17,5,18,17,0,11,11,16,12.6545454545,B
1115220115,12,11,13,11,14,12,14,14,11,12,13,11,16,12,11,11,12,14,13,11,16,11,12,12,10,11,13,0,13,17,13,13,13,15,16,11,9,17,13,12,13,11,13,11,12,11,12,18,12,16,14,11,14,12,9,12.4363636364,B
1115210126,19,11,14,16,15,13,11,13,15,12,19,11,17,16,11,13,13,17,13,11,14,13,14,14,12,15,13,13,15,14,13,13,16,15,13,11,12,11,16,18,16,14,11,16,13,18,18,20,9,15,11,13,15,11,14,13.9818181818,A
1115210144,16,11,13,13,15,15,14,11,15,13,19,11,17,16,11,12,13,18,13,13,12,13,14,14,11,12,13,13,15,11,11,17,15,15,13,12,12,16,16,18,16,17,13,13,11,19,18,19,9,16,9,14,15,16,15,14.0363636364,A
1025220393,13,11,13,16,14,15,11,11,13,15,17,13,17,14,13,13,15,14,12,13,18,19,12,12,15,15,18,15,15,12,15,17,11,14,11,13,11,12,15,19,12,12,11,13,16,12,16,17,15,17,19,14,15,15,15,14.2,A
1115210171,15,11,14,11,12,14,11,16,11,11,16,11,16,12,11,13,12,14,12,14,13,15,12,9,14,11,14,13,15,18,11,14,13,14,12,12,14,7,14,11,12,11,14,12,11,16,13,16,8,13,15,11,11,15,17,12.8727272727,B
1115210162,13,14,17,11,17,13,5,11,12,11,17,11,15,14,9,12,12,16,13,13,15,11,11,14,11,15,12,11,13,10,12,13,13,12,15,11,11,9,12,15,12,13,12,10,11,11,13,16,9,15,18,12,12,12,15,12.6,B
1115220383,11,12,17,11,13,12,5,11,11,11,13,10,15,13,11,12,12,14,14,11,12,15,16,11,9,12,13,11,14,12,14,14,11,15,12,11,11,11,14,11,11,14,11,13,8,14,16,15,12,12,13,12,12,14,11,12.2909090909,B
1025210047,14,14,11,12,11,14,11,11,11,13,16,11,18,15,11,12,12,11,8,12,12,13,12,11,15,12,11,11,14,11,13,14,11,14,14,11,12,11,14,14,13,12,14,17,13,11,13,16,4,14,14,12,11,11,14,12.4909090909,B
